,obsid,obsdate,ra,dec,subclass,mag5,z,z_err,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err
38151,406806036,13/01/2016,100.18548,14.029312,G5,18.54560089,0.000148236,1.20E-05,44.44,3.61,1.986,0.088,4568.75,52.79,-0.548,0.057
41189,28807017,12/01/2012,63.058151,45.282887,K3,12.84659958,-0.00016925,5.64E-06,-50.74,1.69,3.178,0.047,4954.91,27.74,-0.207,0.03
43917,496509122,16/12/2016,167.766863,56.946553,G0,-999,-7.78E-05,9.57E-06,-23.33,2.87,4.097,0.029,5801.08,20.96,-0.692,0.017
12776,279006172,12/12/2014,83.540071,19.931573,dM1,18.27930069,0.00031697,3.11E-05,,,5.124,0.2,3726.08,109.3,,
94416,177907160,14/11/2013,109.55959,19.986734,G5,-999,0.000106073,1.42E-05,31.8,4.25,2.384,0.037,4884.53,27.33,-0.516,0.021
57550,283414085,22/12/2014,72.373151,20.141687,G9,-999,-2.84E-05,1.69E-05,-8.5,5.06,4.66,0.088,5193.37,55.59,-0.28,0.058
31275,19204071,21/12/2011,109.55563,28.162256,dM2,-999,-0.00029995,1.67E-05,,,5,0.19,3749.24,91.59,,
53239,619716192,21/12/2017,61.420342,63.660968,A2,14.98429966,-0.000210112,1.79E-05,-62.99,5.36,4.053,0.056,8478.3,40.28,-0.18,0.038
10155,700411046,12/12/2018,55.353289,58.184618,K3,-999,-0.00020683,1.88E-05,,,,,,,,
60628,722913159,31/01/2019,188.8022321,37.1536716,dM0,16.69149971,-0.00017543,2.95E-05,,,4.777,0.21,3783.47,111.75,,
18194,370211034,13/10/2015,316.758792,4.537764,F3,-999,6.77E-05,1.62E-05,20.3,4.85,4.142,0.052,6551.94,36.36,-0.485,0.031
60121,398908070,01/01/2016,122.05164,14.464776,dM1,16.06480026,0.00027264,7.87E-06,,,4.5,0.19,3624.03,101.58,,
18905,120704243,14/02/2013,172.975788,15.275247,G2,-999,-0.000111511,1.44E-05,-33.43,4.33,3.872,0.045,5535.21,31.68,-0.645,0.028
72393,307813033,29/01/2015,220.6184106,22.6010519,G0,-999,-0.00026442,2.08E-05,,,,,,,,
52532,505316092,01/01/2017,83.58489,-2.3287843,K5,-999,0.00030994,2.41E-05,,,,,,,,
11425,616408128,14/12/2017,359.478763,31.028029,F0,-999,-5.19E-05,1.05E-05,-15.56,3.14,4.184,0.03,6739.73,21.96,-0.198,0.018
10050,39510039,10/02/2012,167.48661,24.330248,G2,13.69569969,5.00E-07,1.83E-05,0.15,5.5,4.388,0.116,5630.01,71.09,-0.216,0.076
82047,32615042,24/01/2012,193.533559,57.494274,G8,-999,5.08E-05,2.57E-05,15.22,7.69,4.574,0.147,5278.54,91.38,-0.508,0.097
98094,337704053,24/03/2015,195.003399,17.776134,G2,15.61849976,-5.89E-05,1.36E-05,-17.65,4.09,4.129,0.043,5808.42,30.16,-0.592,0.026
52545,381414070,02/11/2015,87.047375,38.517407,F8,-999,0.00013943,1.58E-05,41.8,4.75,4.409,0.059,6129.45,41.55,-0.209,0.041
85942,320210055,17/02/2015,151.5485672,30.8939828,dM2,18.60099983,-0.00013486,8.42E-06,,,5,0.16,3754.14,80.29,,
101028,125204111,21/02/2013,79.901721,40.959679,G5,16.90649986,5.09E-06,3.84E-06,,,,,,,,
94748,320101062,17/02/2015,111.81501,33.29307,dM1,18.19479942,-6.91E-05,1.48E-05,,,4.754,0.2,3601.72,97.08,,
84448,572914109,17/05/2017,189.4631486,9.7992794,K0,15.78100014,1.32E-05,1.34E-05,3.96,4.01,3.799,0.042,5072.57,29.8,-0.233,0.025
4453,57614216,01/10/2012,348.160603,23.763413,F5,12.79319954,-5.24E-05,1.40E-05,-15.71,4.2,4.132,0.06,6341.36,39.95,-0.182,0.041
17467,183704210,25/11/2013,117.78526,27.911695,G2,-999,0.000123852,1.87E-05,37.13,5.6,4.374,0.058,5699.53,43.15,-0.569,0.041
7026,504711080,31/12/2016,86.738185,26.231406,G7,-999,2.82E-05,1.52E-05,8.45,4.56,4.224,0.116,5341.33,69.16,-0.199,0.075
10490,184808222,29/11/2013,70.717983,23.82699,K7,-999,1.16E-05,4.20E-05,,,,,,,,
84490,83402183,25/11/2012,144.64489,-7.302543,F7,-999,9.11E-05,1.39E-05,27.31,4.17,4.084,0.044,6177.61,30.39,-0.107,0.027
101491,470204176,27/09/2016,65.016593,46.268181,F7,-999,-8.28E-05,2.71E-05,-24.82,8.11,4.293,0.093,6325.9,67.83,-0.044,0.066
43202,270410167,22/11/2014,342.830846,56.266915,K3,-999,-0.000468658,1.06E-05,-140.5,3.18,2.207,0.084,4621.44,50.09,-0.513,0.055
59253,278503181,11/12/2014,131.571472,52.23719,K1,-999,-0.00027548,5.90E-06,,,,,,,,
24715,296214003,11/01/2015,100.79609,39.810658,G5,14.74919987,2.32E-05,2.29E-05,6.97,6.86,4.639,0.123,5530.32,77.64,0.097,0.082
83716,93615216,23/12/2012,122.56736,-5.402043,F0,13.55340004,0.000355913,1.66E-05,106.7,4.99,4.135,0.052,6277.18,37.23,-0.288,0.035
35138,257202216,27/10/2014,15.718125,45.189682,A3,-999,-0.000498712,1.60E-05,-149.51,4.8,4.317,0.048,6720.92,34.47,-1.195,0.028
19166,434404085,03/03/2016,87.6115586,24.0006006,F0,16.15399933,9.93E-05,2.19E-05,29.77,6.56,3.843,0.093,7038.71,62.53,0.117,0.064
70071,619308113,20/12/2017,171.276497,3.889504,F2,-999,0.000289901,1.69E-05,86.91,5.06,4.065,0.069,5808.61,46.84,-0.755,0.047
101215,354416134,15/09/2015,285.4797,50.876792,A3,-999,-6.00E-05,2.24E-05,-17.99,6.71,4.475,0.179,5426.66,106.68,-0.857,0.117
6400,414709090,26/01/2016,207.324926,-5.533533,F7,-999,2.52E-05,1.13E-05,7.55,3.4,4.134,0.028,6196.49,20.84,-0.034,0.015
92135,8516246,26/11/2011,86.600213,29.74221,A6,-999,0.00043734,2.49E-05,,,,,,,,
40983,593906010,23/10/2017,51.129032,14.1113825,dM0,-999,3.24E-05,1.02E-05,,,4.583,0.19,3685.19,91.45,,
88413,207203161,13/01/2014,91.309333,-6.679428,G5,-999,0.00011385,1.04E-05,,,,,,,,
39363,678804162,07/10/2018,313.360492,7.635403,G2,19.68610001,-1.97E-05,1.19E-05,-5.91,3.56,4.079,0.028,5810.13,21.11,-0.203,0.015
3442,200014077,28/12/2013,39.13001,9.349986,K5,19.72640038,-4.30E-05,1.85E-05,-12.88,5.56,4.532,0.122,4469.85,73.96,0.116,0.08
79655,732114037,03/03/2019,149.796161,36.494243,G8,-999,0.000148636,2.71E-05,44.56,8.12,4.431,0.171,5209.93,104.44,-0.429,0.112
82154,155812115,30/05/2013,277.889312,51.434552,F7,-999,0.00026786,3.36E-05,,,,,,,,
17254,129815178,03/03/2013,109.80305,34.380469,G3,13.68739986,-3.40E-05,1.66E-05,-10.19,4.99,4.032,0.052,5874.71,36.37,-0.046,0.032
32904,269105181,19/11/2014,347.8652792,34.4365203,K5,-999,-7.71E-05,1.33E-05,-23.1,3.99,4.659,0.045,4451.67,33.17,-0.131,0.032
10519,51002247,14/05/2012,236.79797,27.522341,G8,-999,-1.83E-05,1.41E-05,-5.49,4.24,4.494,0.045,5316.12,31.49,0.271,0.027
101751,814013019,27/03/2020,260.31926,14.999756,G7,20.34600067,-0.00010246,8.81E-05,,,,,,,,
28341,307315245,29/01/2015,78.1394342,46.8705206,A7,-999,-3.04E-05,2.77E-05,-9.12,8.3,4.118,0.029,7410.48,17.51,-0.061,0.016
4570,587203057,20/09/2017,303.84002,7.6885838,F9,-999,-1.65E-05,2.67E-05,-4.95,8.01,4.153,0.126,5790.45,81.87,0.137,0.085
40924,1314219,28/10/2011,355.302767,29.707354,G2,14.71140003,-0.000246237,2.92E-05,-73.82,8.74,4.29,0.192,5738.64,116.93,-0.547,0.126
68678,49308182,03/04/2012,209.0965,-2.558254,G4,15.42230034,-2.65E-05,1.18E-05,-7.93,3.53,3.948,0.037,5617.72,26.42,0.077,0.025
99697,524815170,27/01/2017,34.70496,42.84453,G0,-999,-0.000105473,1.63E-05,-31.62,4.88,4.292,0.051,5865.79,35.49,-0.47,0.032
71476,239112089,07/05/2014,273.533932,41.472282,G8,19.03879929,-0.00013859,9.97E-06,,,,,,,,
18503,456316219,24/04/2016,228.8306722,14.2506289,K1,-999,-9.52E-06,4.92E-06,,,,,,,,
101889,820606124,23/04/2020,232.947342,11.817178,K5,-999,8.47E-05,1.83E-05,25.38,5.48,4.809,0.149,4357.79,88.46,-0.059,0.097
47270,732903102,05/03/2019,244.159163,13.791336,F9,12.82559967,-0.000213915,1.39E-05,-64.13,4.17,3.797,0.04,5186.14,28.79,-0.464,0.023
51757,426901233,19/02/2016,58.45842639,18.33207778,G7,-999,-9.07E-05,5.38E-06,,,,,,,,
91713,628614196,10/01/2018,174.678144,6.592078,K3,-999,-3.06E-05,6.10E-06,,,,,,,,
68036,94707121,24/12/2012,119.38694,-6.892151,F8,-999,0.00010559,2.91E-05,,,,,,,,
54616,409107077,18/01/2016,100.9430892,25.5676225,F9,-999,0.000118849,1.84E-05,35.63,5.52,2.536,0.077,5129.09,52.02,-0.306,0.053
17610,408916193,18/01/2016,143.467212,-1.4422,G2,15.18589973,-1.74E-05,2.53E-05,-5.23,7.57,4.18,0.125,5712.52,80.21,-0.486,0.083
64968,37308182,03/02/2012,182.555754,29.979307,K7,-999,-0.000112278,1.22E-05,-33.66,3.65,4.557,0.071,3945.71,44.08,-0.419,0.047
53284,309810213,01/02/2015,68.9924456,33.3694267,G7,-999,0.00010429,7.44E-06,,,,,,,,
86422,42410201,18/02/2012,220.218486,-1.526446,F7,-999,-4.39E-05,3.94E-05,-13.17,11.82,4.299,0.253,5853.04,154.57,-0.532,0.166
54252,242709015,29/05/2014,284.17225,46.950111,G7,-999,-3.80E-05,1.08E-05,-11.38,3.24,4.638,0.033,5290.43,23.42,-0.252,0.019
7347,303312067,23/01/2015,220.515226,19.926658,F7,11.79100037,6.94E-05,1.97E-05,20.81,5.9,4.015,0.061,5996.38,44.93,-0.306,0.042
31962,433108038,26/02/2016,182.21297,35.42723,G2,17.79310036,-2.38E-05,9.24E-06,-7.15,2.77,4.082,0.028,5931.29,20.24,-0.083,0.017
85686,18212077,19/12/2011,122.889325,16.6952694,F0,-999,7.74E-06,1.26E-05,2.32,3.79,4.152,0.04,6815.29,28.43,-0.354,0.024
35240,205708034,10/01/2014,115.918478,4.048834,G4,-999,7.49E-05,1.22E-05,22.44,3.66,4.326,0.037,5601.52,26.25,-0.246,0.021
35278,739713241,31/03/2019,214.0387467,57.1509908,A2,17.10770035,-0.00032352,1.11E-05,,,,,,,,
94848,266808229,16/11/2014,35.633305,7.851666,dM1,-999,-4.72E-05,7.02E-06,,,4.992,0.22,3698.36,99.49,,
4665,487702020,04/12/2016,81.002341,1.6813656,G0,-999,0.000214048,1.26E-05,64.17,3.79,4.268,0.04,5996.56,28.41,-0.31,0.024
99616,807602082,23/02/2020,55.6093224,22.5494993,G3,13.25959969,0.000155074,1.31E-05,46.49,3.93,3.946,0.042,5590.84,29.49,-0.34,0.025
