,obsid,obsdate,ra,dec,subclass,mag5,z,z_err,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err
42054,451705204,12/04/2016,191.2256834,7.5755928,K5,18.55739975,-0.00018364,0.00031672,,,,,,,,
51893,76105154,01/11/2012,21.3115194,-2.8513247,F9,-999,-1.09E-05,1.78E-05,-3.27,5.35,4.583,0.089,5339.76,57.1,0.19,0.059
71887,228803238,23/03/2014,190.95376,36.928334,K4,13.78569984,-5.48E-05,1.51E-05,-16.43,4.52,4.633,0.048,4612.83,33.61,-0.088,0.029
55882,385216084,30/11/2015,16.933892,17.285721,K5,-999,0.00019069,1.10E-05,,,,,,,,
37877,134308142,10/03/2013,215.121732,45.690413,G3,-999,-2.31E-05,1.44E-05,-6.94,4.32,4.439,0.058,5682.36,39.85,-0.237,0.04
51105,680407040,12/10/2018,316.06053,34.289471,G3,-999,-0.00014371,9.38E-05,,,,,,,,
5336,308502215,30/01/2015,156.586637,22.663836,K3,-999,-0.00013955,3.04E-05,,,,,,,,
59431,298507100,16/01/2015,71.474837,19.106534,G2,17.15369987,-3.49E-05,0.00044819,,,,,,,,
99059,644204197,10/02/2018,134.4341858,18.0937158,F7,-999,-1.06E-05,2.50E-05,,,,,,,,
53274,50716171,14/05/2012,265.7363995,7.3627231,G4,-999,-0.000286031,2.81E-05,-85.75,8.43,4.259,0.17,5480.69,104.58,-0.376,0.112
16105,243909124,12/01/2014,46.064978,56.315415,A3,-999,-0.00014362,4.30E-06,,,,,,,,
70919,504615007,31/12/2016,63.46778,30.979359,dM1,14.95610046,5.35E-05,7.31E-06,,,5.035,0.15,3696.9,70.82,,
33645,571604030,14/05/2017,171.967951,15.793307,G0,-999,-4.00E-06,7.71E-06,-1.2,2.31,4.455,0.016,5788.35,12.67,-0.398,0.007
93749,778815178,20/12/2019,66.694435,7.8075774,F7,-999,-4.29E-05,1.52E-05,-12.86,4.57,4.136,0.036,6137.23,27.23,-0.406,0.02
96407,386802181,05/12/2015,96.631946,12.982922,dM0,-999,0.00015104,9.18E-05,,,5.103,0.3,3945.96,153.18,,
57774,75514104,31/10/2012,333.219778,7.948913,G5,-999,0.000103805,1.80E-05,31.12,5.39,4.352,0.089,5522.87,57.3,-0.05,0.06
34429,117406197,01/02/2013,224.429829,12.180686,K3,-999,-1.18E-05,4.25E-06,,,,,,,,
23327,335914184,20/03/2015,220.719161,12.934704,K0,-999,1.23E-05,2.50E-05,3.7,7.48,4.592,0.142,4992.4,88.11,-0.385,0.093
16286,507812204,03/01/2017,109.45021,10.631728,dM4,-999,0.00037538,9.78E-06,,,5.157,0.23,3409.28,103.15,,
30022,267203238,16/11/2014,339.469163,33.274081,K0,-999,-2.12E-05,1.91E-05,-6.36,5.73,3.647,0.04,5011.91,31.84,-0.016,0.02
81666,580416103,13/06/2017,296.5603936,15.0056025,F5,-999,-5.21E-05,1.14E-05,-15.62,3.43,4.024,0.036,6556.41,25.09,-0.007,0.022
23300,577513095,07/06/2017,258.371011,34.710045,G6,13.71730042,-0.0001324,1.16E-05,,,,,,,,
36583,48302066,26/03/2012,184.262754,26.74058,G2,-999,-0.000334598,2.74E-05,-100.31,8.2,4.283,0.157,5653.87,97.53,-0.667,0.103
20251,146909139,21/04/2013,225.334078,46.944602,G6,13.70219994,-0.000546278,1.71E-05,-163.77,5.12,2.339,0.113,4908.06,68.56,-0.645,0.074
71751,632806187,19/01/2018,120.62652,20.546932,G6,-999,-7.93E-05,2.54E-05,-23.78,7.62,4.29,0.215,5394.15,127.82,-0.189,0.141
57139,605009043,16/11/2017,17.856673,44.109296,G9,-999,-0.00064558,1.15E-05,-193.54,3.44,2.491,0.036,4680.75,25.67,-0.589,0.022
44754,82012070,23/11/2012,17.278128,40.61607,F2,-999,7.00E-06,1.02E-05,2.1,3.06,4.335,0.031,6132.3,22.07,-0.087,0.018
9434,145016224,14/04/2013,157.518884,33.593117,G8,14.86260033,-0.000125987,1.96E-05,-37.77,5.88,4.774,0.16,5364.84,95.15,-0.122,0.104
31335,380004217,31/10/2015,94.38732111,52.76751389,G7,-999,8.49E-05,1.25E-05,25.45,3.75,4.511,0.025,5367.69,20.56,-0.058,0.011
22434,171611115,29/10/2013,21.6204006,-0.1177317,G4,-999,3.37E-05,1.57E-05,10.1,4.7,4.387,0.049,5693.27,36.28,-0.249,0.034
26865,231204161,29/03/2014,224.0256664,26.9250304,G7,-999,-0.000109509,2.19E-05,-32.83,6.57,4.428,0.068,5338.16,49.43,-0.807,0.046
2668,709804105,02/01/2019,31.2584963,-0.1379689,K7,-999,-3.84E-05,6.91E-05,,,,,,,,
85216,30207094,13/01/2012,27.674957,28.594457,G3,15.93229961,-3.76E-05,2.80E-05,-11.26,8.39,4.551,0.204,5705.11,122.58,-0.424,0.133
26659,781009002,27/12/2019,108.93851,60.808431,K5,16.51499939,-7.07E-05,1.25E-05,,,,,,,,
12370,119903146,10/02/2013,159.323422,26.29183,G6,14.91009998,9.29E-05,2.36E-05,27.84,7.09,4.514,0.098,5434.67,66.17,-0.417,0.067
33839,164904008,15/10/2013,12.907346,21.548979,dM3,13.0685997,0.00010857,8.56E-06,,,5.167,0.18,3637.47,82.21,,
84480,52411150,15/06/2012,290.651917,41.490722,K1,17.61330032,-2.22E-05,6.21E-06,,,,,,,,
97561,353916070,13/09/2015,11.6809,39.852324,G3,-999,-0.00012547,9.65E-05,,,,,,,,
92430,457506048,10/05/2016,240.171564,1.866606,G2,-999,-0.000343504,2.49E-05,-102.98,7.46,4.273,0.18,5818.84,108.03,-0.236,0.117
60388,600513051,10/11/2017,115.046172,1.205691,F5,-999,0.000158743,1.47E-05,47.59,4.42,4.315,0.047,6526.93,32.53,-0.053,0.028
18121,327910198,03/03/2015,118.5279606,36.2044378,F0,12.85389996,-5.60E-05,9.67E-06,-16.8,2.9,4.028,0.023,6735.88,17.14,0.051,0.012
90412,794614189,23/01/2020,90.4773933,23.0024697,A5,13.56070042,1.24E-05,4.20E-05,3.73,12.6,3.665,0.062,8184.41,37.4,-0.311,0.035
71726,90311108,05/12/2012,20.588995,29.305594,G3,14.2656002,-0.00010644,1.84E-05,-31.91,5.53,4.303,0.068,5906.91,48.2,-0.127,0.048
60522,109503020,23/01/2013,117.3902,2.9818485,F2,14.58399963,-0.000102037,1.60E-05,-30.59,4.8,4.242,0.056,6186.18,40.63,-0.084,0.04
22702,207407188,13/01/2014,138.17859,0.247895,A1,-999,0.00027392,5.97E-06,,,,,,,,
44026,710502152,03/01/2019,159.196526,2.097658,F9,13.41699982,6.86E-05,1.24E-05,20.56,3.71,4.269,0.039,5596.22,27.59,-0.09,0.023
82403,492412018,10/12/2016,112.8440217,5.9522339,A1,-999,1.51E-05,1.26E-05,4.54,3.77,4.265,0.027,6778.7,21.15,-1.166,0.014
3170,62404183,07/10/2012,318.544249,-7.355064,K1,-999,-0.00020668,7.40E-06,,,,,,,,
62903,336506019,22/03/2015,128.255739,1.631862,G3,-999,0.00010057,1.07E-05,30.15,3.22,4.136,0.032,5898.17,23.11,0.037,0.019
59145,241005020,20/05/2014,291.131442,45.696122,F9,-999,-6.84E-05,2.17E-05,-20.5,6.51,4.165,0.141,5540.49,85.93,0.046,0.092
16345,418912037,03/02/2016,97.203704,45.807171,G3,15.97000027,2.96E-05,3.90E-05,8.88,11.68,4.823,0.273,5697.02,164.7,-0.347,0.178
32910,159705160,26/09/2013,15.644713,34.546699,G7,13.99720001,-0.00014004,1.72E-05,,,,,,,,
18514,214115012,29/01/2014,40.311139,41.146004,F2,-999,-0.000144133,1.25E-05,-43.21,3.74,4.365,0.036,6229.95,26.14,-0.038,0.021
77232,408807111,18/01/2016,87.2456678,27.7966161,F0,12.9531002,-6.76E-05,1.66E-05,-20.26,4.97,4.12,0.052,6774.07,36.3,-0.376,0.033
93892,228016086,22/03/2014,112.27387,28.336976,F9,14.80300045,0.00016358,8.67E-06,,,,,,,,
69010,354703162,16/09/2015,24.238096,35.291053,K7,-999,-0.000107474,2.04E-05,-32.22,6.11,4.749,0.128,4193.74,78.28,-0.104,0.084
1182,604715197,22/11/2017,13.577518,0.8189443,G4,-999,-5.23E-05,0.000246,,,,,,,,
76231,7202142,21/11/2011,20.548619,28.96649,G3,-999,1.04E-05,3.34E-05,3.13,10.01,3.866,0.247,5466.68,148.09,-0.463,0.161
16500,794806052,24/01/2020,103.46582,37.066493,F5,-999,5.36E-06,5.69E-05,,,,,,,,
86293,698102019,07/12/2018,27.598991,38.743882,G7,14.36400032,3.25E-05,1.18E-05,9.73,3.53,3.761,0.037,5163.23,26.1,-0.27,0.023
79470,498912011,22/12/2016,91.111979,0.6564775,F2,15.04160023,-3.62E-05,1.49E-05,-10.86,4.48,4.156,0.123,6370.73,72.97,-0.208,0.08
29739,51908118,02/06/2012,263.555642,25.083483,F9,-999,0.00010355,4.69E-05,,,,,,,,
60324,447816026,27/03/2016,231.0984564,42.88103,G3,-999,-6.10E-05,1.12E-05,-18.3,3.37,4.168,0.036,5660.17,25.1,0.013,0.022
96082,335005197,19/03/2015,123.424175,6.500468,F0,-999,0.00018149,1.77E-05,,,,,,,,
38669,721703177,29/01/2019,98.31714056,23.50618917,K1,16.22739983,8.80E-05,1.82E-05,26.37,5.45,2.315,0.058,4685.7,40.89,-0.222,0.035
63914,457009002,07/05/2016,199.349043,32.61434,dM3,-999,-9.39E-05,1.99E-05,,,5.205,0.16,3618.31,79.14,,
28444,73614048,27/10/2012,88.349855,26.603406,G5,-999,2.24E-05,7.94E-06,,,,,,,,
29841,713501117,09/01/2019,150.157029,55.294939,dM3,14.38490009,-0.00011178,2.10E-05,,,5,0.22,3418.37,116.07,,
55340,243503054,12/01/2014,82.577492,44.328491,K5,-999,-5.69E-05,8.15E-06,,,,,,,,
21278,38308033,08/02/2012,209.464826,-1.691704,K1,-999,0.00011109,3.09E-05,,,,,,,,
91942,740403188,01/04/2019,256.746024,43.568369,G2,-999,-0.000189464,1.26E-05,-56.8,3.79,4.281,0.034,6013.9,24.94,-0.174,0.019
21343,278706239,11/12/2014,182.09331,23.616497,G2,-999,-0.000109476,1.27E-05,-32.82,3.8,4.28,0.039,5890.34,29.9,-0.23,0.029
52729,106303085,12/01/2013,76.736724,26.398622,F5,19.57320023,9.65E-05,1.78E-05,28.94,5.35,4.332,0.14,6507.65,83.32,-0.521,0.091
11787,7908141,24/11/2011,73.552466,27.680004,K3,19.31509972,-0.00020207,2.06E-05,,,,,,,,
35873,617411069,17/12/2017,19.079432,62.471425,A1,-999,-0.000276725,1.95E-05,-82.96,5.84,4.068,0.071,11845.6,50.41,0.261,0.05
64301,230411189,26/03/2014,113.75314,25.001835,A7,-999,-7.87E-05,9.57E-06,,,,,,,,
94707,21812083,26/12/2011,145.338742,32.561241,F5,-999,5.20E-05,3.24E-05,15.58,9.72,4.288,0.24,6347.03,144.22,-0.533,0.157
78188,629416085,12/01/2018,68.899966,56.906002,F5,19.75349998,-0.00022192,1.66E-05,-66.53,4.99,4.564,0.137,6546.7,81.41,-0.451,0.089
88097,231815213,01/04/2014,139.11783,29.953346,F5,-999,0.000102905,1.48E-05,30.85,4.44,4.059,0.037,6368.53,27.65,-0.157,0.021
41403,315204116,08/02/2015,75.507353,39.448998,G1,15.53320026,-0.00014142,8.61E-06,,,,,,,,
33905,806114001,26/02/2020,129.6846601,13.1969114,G7,13.81130028,-4.18E-05,2.90E-05,,,,,,,,
9901,405714094,12/01/2016,73.117148,40.617051,A5,15.33380032,-7.01E-05,2.78E-05,-21.02,8.33,4.191,0.166,6732.33,102.32,-1.875,0.109
51331,48402229,26/03/2012,228.573876,-1.842453,dM3,20.03680038,-0.00020485,1.81E-05,,,5,0.2,3537.56,105.21,,
79355,731505235,02/03/2019,96.9277881,15.9093764,F0,14.02970028,3.14E-05,2.02E-05,9.41,6.07,4.069,0.064,6847.21,44.32,-0.192,0.039
89049,805507158,22/02/2020,233.033463,34.45143,G2,14.44639969,6.19E-05,1.64E-05,18.55,4.93,4.458,0.052,5804.06,36.98,-0.232,0.031
17105,365412153,05/10/2015,332.37442,40.41637,G5,12.92420006,3.34E-08,1.58E-05,0.01,4.73,2.665,0.049,4856.71,37.43,-0.285,0.036
47702,531405040,05/02/2017,185.435313,23.727335,G0,15.35910034,-0.000239866,1.12E-05,-71.91,3.35,4.127,0.035,5845.38,25.08,-0.598,0.021
77010,165802169,17/10/2013,37.901531,45.6811,F3,13.51640034,-1.18E-05,1.93E-05,-3.55,5.8,4.185,0.107,6750.55,67.09,-0.026,0.071
97750,266307074,14/11/2014,16.372438,32.576104,F5,-999,-0.000104606,1.04E-05,-31.36,3.11,4.174,0.024,6461.52,18.13,-0.278,0.013
70298,469512240,19/09/2016,302.3373897,33.2507231,A2,-999,-0.0012503,0.00010967,,,,,,,,
8284,211710126,25/01/2014,61.371501,29.788219,dM0,-999,2.10E-07,5.76E-06,,,5.21,0.14,3954.88,62.74,,
36343,163811071,14/10/2013,339.515339,21.641859,G3,13.32409954,-6.43E-05,1.15E-05,-19.27,3.45,4.213,0.037,5792.02,25.82,0.202,0.022
24244,680905136,13/10/2018,68.0456092,20.4818094,K4,-999,-0.000116247,1.37E-05,-34.85,4.1,4.598,0.044,4732.41,30.59,-0.246,0.026
7929,237213211,29/04/2014,173.18906,3.605219,dM3,-999,8.61E-06,5.88E-06,,,5,0.2,3648.99,93.49,,
60909,227207103,20/03/2014,262.641315,25.712521,F9,16.58659935,-0.00029861,4.68E-06,,,,,,,,
41631,404906074,11/01/2016,186.0915,31.651387,K1,12.40040016,3.83E-05,1.71E-05,11.49,5.13,4.436,0.054,5264.07,38.18,0.494,0.032
76909,100416017,02/01/2013,120.711723,44.071571,F7,-999,-5.80E-05,1.50E-05,-17.39,4.51,4.236,0.047,6118.59,36.21,-0.35,0.035
48417,20612082,24/12/2011,21.470946,0.136505,F5,18.16119957,5.03E-06,2.95E-05,,,,,,,,
93845,756615160,25/10/2019,93.813923,10.3169,A1,-9999,-6.63E-05,0.00051455,,,,,,,,
37315,76611046,01/11/2012,61.898033,26.348428,K4,17.72019959,9.66E-06,4.58E-05,,,,,,,,
1203,545804046,28/02/2017,100.8776,53.65218,G2,18.40340042,0.000133492,4.32E-05,40.02,12.95,4.245,0.297,5831.05,179.64,-0.188,0.194
102010,165509068,16/10/2013,44.113961,32.778167,F9,18.61560059,3.55E-05,5.66E-06,,,,,,,,
38088,603808219,20/11/2017,135.104989,20.550827,K5,16.00589943,-4.03E-05,1.50E-05,-12.08,4.51,4.681,0.114,4264.39,68.2,0.095,0.074
75483,371812094,16/10/2015,59.097914,32.53856,G7,16.32620049,-0.00017619,0.00013375,,,,,,,,
71624,281508052,18/12/2014,165.469104,41.47766,G9,17.59690094,-0.000205943,1.91E-05,-61.74,5.72,4.724,0.076,4994.21,52.33,-0.193,0.053
21061,386107053,03/12/2015,62.345375,4.609356,G6,-999,3.35E-05,7.47E-06,,,,,,,,
845,476315062,04/11/2016,324.2535128,46.5570194,G5,18.71430016,-0.000315185,1.15E-05,-94.49,3.44,2.687,0.036,4638.3,26.32,-0.003,0.025
91441,202601110,01/01/2014,24.287882,26.367859,G3,-999,-0.000406748,2.25E-05,-121.94,6.74,2.093,0.125,4868.39,77.9,-1.625,0.082
70960,631115078,16/01/2018,92.3053742,24.2949951,A1,-999,-9.88E-05,7.91E-06,-29.63,2.37,3.98,0.016,9576.27,13,-0.31,0.008
71288,453608222,18/04/2016,248.017017,0.288783,G5,-999,-6.67E-05,1.24E-05,-19.99,3.73,3.355,0.04,4855.4,27.87,-0.041,0.024
60142,299610028,18/01/2015,142.2731554,39.0954705,dM0,15.74479961,-2.78E-06,1.05E-05,,,4.945,0.16,3851.85,85.32,,
31226,442909210,21/03/2016,128.532995,11.9106781,F0,12.94909954,0.00017192,5.01E-06,,,,,,,,
25646,577214192,07/06/2017,203.7929883,23.1500961,G5,-999,-0.000132892,1.33E-05,-39.84,3.98,4.404,0.03,5449.2,23.29,0.144,0.016
1613,577110228,04/06/2017,308.3627603,35.5675436,F0,-999,-9.06E-05,1.27E-05,-27.16,3.81,3.999,0.04,6767.19,28.54,0.144,0.024
65111,439309072,13/03/2016,199.10376,14.529953,K3,19.73530006,6.84E-06,1.80E-05,2.05,5.41,4.696,0.13,4674.61,78.42,-0.667,0.085
41723,658107069,22/03/2018,135.9675363,16.9227013,G2,14.18560028,0.000248872,4.33E-05,74.61,12.99,3.751,0.319,5425.12,191.28,-0.729,0.208
95144,425806065,18/02/2016,103.9551425,51.8546269,F6,17.16990089,2.51E-05,1.23E-05,7.53,3.68,3.918,0.031,6159.37,23.26,-0.368,0.018
92653,260914151,05/11/2014,337.913727,55.144323,G2,-999,-0.000338868,1.43E-05,-101.59,4.29,4.407,0.087,5974.5,53.38,-0.132,0.057
32231,567306181,29/04/2017,235.851934,10.611904,K7,15.26109982,-0.000205809,1.95E-05,-61.7,5.85,4.63,0.09,4175.91,58.71,-0.438,0.06
32176,265802213,13/11/2014,137.73775,50.532463,K3,12.70979977,-2.04E-05,1.37E-05,-6.13,4.12,4.719,0.042,5024.17,30.06,0.089,0.025
33535,210702021,22/01/2014,106.31948,34.770692,K5,19.97229958,-0.000110009,1.63E-05,-32.98,4.88,4.6,0.104,4320.63,63.68,-0.027,0.068
28908,294014178,08/01/2015,169.833144,47.525517,G2,-999,1.73E-05,1.03E-05,5.19,3.09,4.061,0.023,5773.3,17.9,-0.319,0.012
29720,709008228,01/01/2019,123.18561,28.713718,K5,18.03389931,0.00029576,6.01E-05,,,,,,,,
36649,613203106,06/12/2017,157.129251,12.752524,G2,-999,3.70E-05,1.40E-05,11.1,4.19,4.289,0.044,5792.79,30.97,-0.396,0.027
30144,199808185,27/12/2013,182.28478,-0.560051,K5,-999,-0.000188797,1.61E-05,-56.6,4.84,4.716,0.061,4398.4,42.81,-0.394,0.043
34749,476403099,04/11/2016,18.6069992,6.1633669,F9,-999,-0.000146802,1.30E-05,-44.01,3.91,4.139,0.031,5903.82,23.53,-0.411,0.017
82576,415710157,28/01/2016,99.487925,12.487455,G5,13.82110024,0.000147602,1.64E-05,44.25,4.91,2.344,0.084,4874.68,53.26,-0.582,0.056
101120,186110056,01/12/2013,131.800662,25.80263,F5,-999,-4.49E-05,1.12E-05,-13.45,3.35,4.131,0.028,6366,21.03,-0.4,0.016
53721,78108129,14/11/2012,39.0533143,2.8270475,K5,-999,-0.00033866,0.00011043,,,,,,,,
81138,645913193,14/02/2018,95.226946,23.855015,G5,-999,-1.11E-05,9.07E-06,,,,,,,,
14916,592904205,15/10/2017,105.4501903,15.6462156,G5,-999,6.94E-05,3.22E-05,20.82,9.66,4.622,0.065,5661.8,53.03,0.198,0.03
26591,677705055,05/10/2018,318.552173,16.063999,G3,14.65789986,-0.000241,1.08E-05,-72.25,3.24,3.995,0.034,5654.41,24.16,0.045,0.02
45250,721809062,29/01/2019,177.317677,7.504488,K7,18.21990013,-8.06E-05,0.00012826,,,,,,,,
62383,381810161,03/11/2015,355.1397209,16.7077024,dM2,-999,1.59E-06,7.83E-06,,,5.196,0.18,3758.88,86.81,,
97341,811603012,19/03/2020,114.778151,3.5591,G2,13.54199982,0.000121451,1.11E-05,36.41,3.33,4.106,0.033,5908.21,23.96,0.026,0.02
22355,422705142,09/02/2016,212.543066,36.314285,G3,-999,-3.31E-05,1.45E-05,-9.92,4.36,3.75,0.046,5435.09,32.34,-0.612,0.028
29917,180316049,19/11/2013,33.430131,44.750233,F5,-999,-6.40E-05,1.05E-05,-19.2,3.16,4.174,0.033,6422.9,23.24,-0.177,0.019
27538,563508115,14/04/2017,267.695781,24.837355,F9,-999,-9.04E-05,1.83E-05,-27.11,5.48,2.286,0.113,4867.49,69.37,-0.551,0.074
42086,158209173,24/09/2013,322.205326,16.739564,F5,-999,-0.000175088,1.45E-05,-52.49,4.35,4.236,0.044,6394.53,31.69,-0.363,0.026
52394,44208207,26/02/2012,227.211609,29.740622,G2,18.47340012,0.00012359,2.79E-05,,,,,,,,
26423,739809235,31/03/2019,238.4074103,28.5369217,dM0,19.62540054,-0.00012796,2.71E-05,,,4.537,0.24,3736.75,112.53,,
67980,180413148,19/11/2013,37.729231,43.502415,F2,14.49199963,0.000174921,1.83E-05,52.44,5.48,4.234,0.085,6116.82,55.39,-0.008,0.057
99635,646013010,14/02/2018,132.745335,33.859841,K5,19.22290039,8.50E-05,1.78E-05,25.47,5.34,4.48,0.056,4428.53,38.81,-0.123,0.035
56932,405912192,12/01/2016,34.433913,33.357742,dM1,-999,-0.00010381,6.59E-06,,,5.377,0.19,3806.6,91.46,,
42906,234401070,09/04/2014,138.95584,56.166561,F2,-999,-8.47E-05,1.52E-05,-25.4,4.57,4.179,0.057,6125.47,39.99,-0.102,0.04
60249,59304105,04/10/2012,11.159032,27.361202,F2,-999,-0.00016402,8.64E-06,,,,,,,,
55244,574410216,25/05/2017,204.019256,44.791912,A7,-999,-5.17E-05,1.86E-05,,,,,,,,
71752,110915216,24/01/2013,105.53633,59.306194,F2,18.86120033,2.17E-05,1.53E-05,6.5,4.6,4.145,0.062,6065.26,42.18,-0.048,0.042
37964,206506172,11/01/2014,191.654902,3.672545,G8,14.19519997,-0.000152839,1.60E-05,-45.82,4.79,1.675,0.051,4705.6,35.86,-1.349,0.031
10534,52912209,17/06/2012,297.028125,41.507528,F0,-999,4.28E-05,2.48E-05,12.83,7.44,4.24,0.18,7504.28,108.42,-0.055,0.118
84252,271408185,25/11/2014,85.898841,21.475057,A5,14.88049984,3.30E-05,2.81E-05,9.9,8.41,3.824,0.182,6215.69,111.02,-0.962,0.119
97761,91913155,09/12/2012,116.56882,32.930527,K1,12.89140034,8.48E-05,2.47E-05,,,,,,,,
56056,547409091,03/03/2017,111.12482,46.628627,G7,-999,0.000107074,2.00E-05,32.1,6,4.605,0.171,5407.79,101.26,-0.556,0.111
16190,105810020,11/01/2013,92.499165,26.930079,dM2,16.00379944,-0.0005567,9.09E-05,,,5.009,0.28,3937.56,148.79,,
82679,506515181,26/11/2016,152.546873,7.043095,K4,-999,-0.000167449,2.09E-05,-50.2,6.26,2.822,0.043,4453.74,34.49,0.198,0.021
36645,361710077,25/09/2015,66.3818353,52.9676889,F0,-999,6.98E-05,1.80E-05,20.92,5.39,3.789,0.036,7408.14,29.59,0.578,0.017
15271,39916221,10/02/2012,67.696937,42.359329,G5,17.10400009,-4.09E-05,1.45E-05,-12.26,4.34,2.734,0.094,4565.13,57.29,-0.09,0.062
63793,300711126,20/01/2015,46.7272799,3.5560279,dM4,19.26510048,-6.68E-05,4.06E-05,,,4.989,0.34,3726.88,160.88,,
99578,54913119,28/09/2012,2.758138,18.379078,G3,-999,-0.00024254,3.15E-05,,,,,,,,
81337,16206175,15/12/2011,90.188716,27.002208,A3,18.61310005,-0.00014028,2.23E-05,,,,,,,,
19706,195910071,21/12/2013,38.356944,40.909619,G7,19.24679947,4.51E-05,1.66E-05,13.53,4.98,3.206,0.052,5003.48,36.27,-0.341,0.033
32255,201316184,30/12/2013,184.523787,-5.932927,G3,-999,2.27E-05,1.36E-05,6.81,4.08,4.394,0.037,5647.98,26.85,-0.511,0.021
53084,592305230,13/10/2017,3.8504402,35.758412,K5,19.48469925,-0.000118549,1.17E-05,-35.54,3.52,4.419,0.093,4549.94,55.67,-0.169,0.061
5588,78412003,14/11/2012,100.0324,34.320263,A2,17.92320061,-0.00413589,-1,,,,,,,,
12016,284114073,23/12/2014,49.99429,36.02673,dM2,-999,0.00013742,1.11E-05,,,5.005,0.19,3658.5,90.93,,
13774,210512230,22/01/2014,58.693529,36.988574,F0,-999,-0.00010712,2.42E-05,,,,,,,,
30701,259306196,04/11/2014,122.11937,17.577764,F9,-999,0.00019876,1.05E-05,,,,,,,,
90720,360207053,19/05/2014,229.3548749,27.7105131,dM1,-999,2.75E-05,7.64E-05,,,4.702,0.26,3680.85,136.44,,
18524,418702178,02/02/2016,216.85081,12.843955,F2,-999,-7.76E-05,1.17E-05,-23.25,3.52,4.26,0.037,5811.74,26.38,-0.869,0.022
30662,257211068,27/10/2014,17.991628,48.979356,G5,13.96689987,-6.69E-05,1.54E-05,-20.05,4.61,4.566,0.048,5640.56,34.27,-0.105,0.029
67239,91614089,09/12/2012,83.096586,27.368111,A3,-999,0.00015129,5.18E-05,,,,,,,,
81054,327004156,01/03/2015,110.04846,55.3698136,G4,-999,-0.000122251,1.36E-05,-36.65,4.09,4.389,0.038,5727.38,27.66,-0.014,0.022
101112,219604077,02/03/2014,102.70788,34.490328,K5,-999,0.000141231,1.46E-05,42.34,4.37,4.828,0.118,4598.5,70.33,-0.36,0.077
55499,275306065,04/12/2014,83.7079436,20.4636658,A1,-999,-5.54E-05,1.16E-05,-16.6,3.48,4.042,0.027,8687.65,20.8,-0.162,0.015
7153,21814151,26/12/2011,142.342195,31.675125,G3,-999,6.37E-06,3.26E-05,1.91,9.77,4.588,0.19,5811.04,117.65,0.01,0.125
46590,316212017,09/02/2015,211.152134,26.30399,K7,13.15069962,-6.02E-05,1.04E-05,-18.06,3.12,4.563,0.064,3858.54,39.45,-0.17,0.042
18026,199403061,27/12/2013,88.902243,59.424129,G2,-999,-2.73E-05,1.73E-05,-8.18,5.2,4.484,0.055,5955.57,38.35,-0.037,0.033
14679,583701047,07/05/2017,280.3604883,0.140375,K3,-999,-0.000208778,1.50E-05,-62.59,4.51,4.627,0.082,4858.78,51.67,-0.183,0.054
67391,347504079,23/05/2015,237.4660579,17.6238562,G8,16.98559952,-7.32E-05,1.11E-05,,,,,,,,
101952,286714157,27/12/2014,38.932005,4.9299058,F0,17.59379959,0.000488438,2.89E-05,146.43,8.66,3.993,0.252,6147.14,149.61,-1.326,0.165
98688,652012034,26/02/2018,153.417277,20.550329,F5,-999,-8.69E-05,9.53E-06,,,,,,,,
76489,22215134,26/12/2011,91.915064,30.536904,F9,13.95219994,-0.000203841,1.68E-05,-61.11,5.03,3.285,0.134,5193.71,79.99,-0.437,0.088
17661,216315021,10/02/2014,84.896882,53.755833,F6,-999,3.53E-05,1.01E-05,10.58,3.03,4.152,0.031,6351.19,22.39,0.024,0.019
74938,259409123,04/11/2014,16.75024,53.504549,F0,-999,-5.35E-05,1.63E-05,,,,,,,,
24913,580605020,13/06/2017,291.4089622,37.7434097,F0,-999,-0.000120116,1.63E-05,-36.01,4.88,3.877,0.035,7189.53,27.4,0.265,0.018
46212,602309231,14/11/2017,128.205559,21.167757,G4,13.73009968,5.46E-05,1.12E-05,16.37,3.35,4.247,0.036,5625.11,25.1,0.206,0.021
42644,501106184,26/12/2016,95.1114258,22.6054958,G4,14.72980022,-5.04E-06,2.42E-05,-1.51,7.26,4.589,0.074,5601.57,53.25,-0.049,0.044
83503,119309221,08/02/2013,167.56686,10.54128,A6,-999,-2.12E-06,4.48E-06,,,,,,,,
8690,504409168,30/12/2016,191.535069,-2.1290006,dM2,-999,6.50E-05,7.12E-06,,,4.912,0.19,3464.74,88.38,,
20313,813010028,22/03/2020,98.7610195,22.1347648,F0,-999,4.22E-05,8.67E-06,12.64,2.6,4.106,0.018,6621.78,14.29,-0.094,0.008
34232,29214071,13/01/2012,137.521337,31.684732,dM3,-999,-0.0001039,9.51E-06,,,5.043,0.11,3610.99,65.15,,
9650,397113222,29/12/2015,140.041989,40.573728,F7,13.3100996,8.91E-06,2.21E-05,2.67,6.62,4.034,0.09,5747.7,61.51,-0.851,0.062
72933,171610013,29/10/2013,19.7626996,-2.3735599,F9,14.08279991,8.80E-05,1.97E-05,26.39,5.92,4.243,0.062,5554.38,43.83,-0.042,0.04
20093,629703197,12/01/2018,162.089355,49.1429332,K7,-999,-0.00011091,2.16E-05,-33.25,6.49,4.729,0.137,4203.17,83.83,-0.739,0.09
